,Ethnicity,Name
1389,AFRICAN,karter
2193,HISPANIC,sawyer
154,HISPANIC,allan
688,HISPANIC,derek
413,HISPANIC,beckett
1449,AFRICAN,khalil
1859,AFRICAN,mouhamed
2473,HISPANIC,yaritza
748,ASIAN,elaine
169,HISPANIC,alyson
1277,HISPANIC,johanna
2372,HISPANIC,tomas
2139,HISPANIC,sadie
1802,HISPANIC,michelle
2406,HISPANIC,veronica
991,HISPANIC,hadley
28,HISPANIC,abril
1901,HISPANIC,nathan
1220,HISPANIC,jaylee
271,HISPANIC,annabella
1275,HISPANIC,johan
1894,HISPANIC,nataly
626,HISPANIC,cormac
624,HISPANIC,cora
1637,HISPANIC,maddox
2225,ASIAN,sharon
1847,HISPANIC,molly
1722,HISPANIC,marvin
2519,AFRICAN,zaiden
2167,HISPANIC,sandra
851,HISPANIC,esty
1367,AFRICAN,kailee
634,ASIAN,cynthia
1523,AFRICAN,legend
23,AFRICAN,aboubacar
1249,HISPANIC,jeremias
1049,HISPANIC,hershy
242,ASIAN,andy
321,HISPANIC,arlo
844,HISPANIC,esteban
1378,AFRICAN,kameron
1381,HISPANIC,karas
1545,HISPANIC,leonel
2541,HISPANIC,zev
1268,ASIAN,joanna
1496,AFRICAN,lamar
745,ASIAN,eileen
2393,HISPANIC,tzvi
1160,AFRICAN,jamal
950,HISPANIC,giada
2119,ASIAN,roy
2478,HISPANIC,yassin
221,HISPANIC,anabelle
60,HISPANIC,ahmad
398,HISPANIC,ayla
2256,HISPANIC,shoshana
1475,AFRICAN,kristian
2356,HISPANIC,thiago
957,HISPANIC,giovanna
1056,HISPANIC,hudson
2147,HISPANIC,salvatore
1939,HISPANIC,noah
2514,HISPANIC,zachary
213,AFRICAN,amiya
2476,HISPANIC,yasmina
821,HISPANIC,emmanuel
190,HISPANIC,ambar
1170,AFRICAN,jamir
880,HISPANIC,faigy
1427,AFRICAN,kelsey
88,HISPANIC,alan
2286,HISPANIC,sofia
1290,HISPANIC,jonas
377,HISPANIC,avital
2086,HISPANIC,riva
1856,HISPANIC,moses
1741,AFRICAN,maurice
1100,ASIAN,ishaan
2085,HISPANIC,rina
439,ASIAN,bonnie
1893,HISPANIC,natalie
850,HISPANIC,estrella
567,HISPANIC,charlie
2428,HISPANIC,vivienne
246,HISPANIC,angel
553,HISPANIC,celine
2474,HISPANIC,yaseen
780,HISPANIC,eliyahu
2103,HISPANIC,roizy
1236,HISPANIC,jeancarlos
2183,ASIAN,sarina
2407,HISPANIC,veronika
180,AFRICAN,amar'e
2235,HISPANIC,shayna
2160,AFRICAN,samiya
174,HISPANIC,amaia
1940,HISPANIC,noam
1415,HISPANIC,kayleigh
1482,AFRICAN,kylee
